;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI;                                            ATIVO IMOBILIZADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SISTEMA DE
CONFERÊNCIA
ON -LINE
03/2026";LOCALIZ.;NOME DO AMBIENTE;;;;;IMOB.;"Nº 
INVENTÁRIO";"DATA
INCORP.";DENOMINAÇÃO IMOBILIZADO;RESPONSÁVEL;STATUS/OCORRÊNCIA;TRANSFERÊNCIA;;DISPONIBILIDADE;;;;BAIXA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;"LOCAL
DESTINO";RESPONSÁVEL;AUTORIZ.;"DATA ENVIO 
P/GAF";"Nº DA
UNIDADE";ENTREPOSTO;AUTORIZ.;"DATA 
ENVIO 
P/DIRETOR";"PROCESSO 
Nº";;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10355213;1169954;20.07.2016;BEBEDOURO TIPO COLUNA P/GARRAFÃO 220V/ LIBELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156375;1081158;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156376;1081159;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156377;1081160;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156378;1081161;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156379;1081162;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156380;1081163;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156381;1081164;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10156382;1081165;01.08.2013;CADEIRA UNIVERSITÁRIA TEC.PRETO/CAVALETTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10194764;1180354;01.02.2017;SOFÁ 2 LUGARES - PRETO DC 1819/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10194765;1180355;01.02.2017;SOFÁ 2 LUGARES - PRETO DC 1819/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770001;2077;00;01;;;;10194766;1180356;01.02.2017;SOFÁ 2 LUGARES - PRETO DC 1819/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10207094;1202274;28.02.2018;ARMÁRIO BAIXO MALIBU DC 1649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10202204;1190750;31.10.2017;ARMÁRIO PASTA SUSPENSA MALIBU DC 1659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10289216;626685;30.06.1996;BALANCA SEMI AUTOMATICA IBEM CH-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10194746;1180336;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10194747;1180337;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10194876;1180596;13.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS - TECIDO AZUL/SISTEMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10194877;1180597;13.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS - TECIDO AZUL/SISTEMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10194878;1180598;13.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS - TECIDO AZUL/SISTEMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10194790;1180380;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770002;2077;00;02;;;;10200832;1187890;31.07.2017;MESA DE INFORMÁTICA MALIBÚ DC-1665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
